displ,fuelType,VClass,engId
3.1,Regular,Compact Cars,4423
2.2,Regular,Compact Cars,4407
2.5,Regular,Special Purpose Vehicle 4WD,4920
2.2,Regular,Compact Cars,4410
2.3,Premium,Compact Cars,4433
3.1,Regular,Compact Cars,4504
2.5,Regular,Compact Cars,2420
3.0,Regular,Compact Cars,2510
2.8,Regular,Special Purpose Vehicle 4WD,4936
2.4,Regular,Compact Cars,38021
2.2,Regular,Compact Cars,2320
1.8,Regular,Compact Cars,3080
2.8,Regular,Special Purpose Vehicle 4WD,4934
1.8,Regular,Compact Cars,3081
1.9,Regular,Compact Cars,3100
1.9,Regular,Compact Cars,3101
2.3,Regular,Compact Cars,3200
2.3,Regular,Compact Cars,3201
3.0,Regular,Compact Cars,3302
3.0,Regular,Compact Cars,3301
1.6,Regular,Compact Cars,57601
1.8,Regular,Compact Cars,57602
2.8,Regular,Special Purpose Vehicle 4WD,4932
1.6,Regular,Compact Cars,33820
2.2,Regular,Compact Cars,26031
2.2,Regular,Compact Cars,26033
1.6,Regular,Compact Cars,26505
1.8,Regular,Compact Cars,26506
5.2,Regular,Special Purpose Vehicle 4WD,2950
1.5,Regular,Compact Cars,26502
2.0,Regular,Compact Cars,38012
6.0,Premium,Compact Cars,30560
4.0,Premium,Compact Cars,30556
3.0,Regular,Compact Cars,57007
5.9,Regular,Special Purpose Vehicle 4WD,2990
1.8,Regular,Compact Cars,56040
1.8,Regular,Compact Cars,56045
1.6,Regular,Compact Cars,56030
1.6,Regular,Compact Cars,56031
5.9,Regular,Special Purpose Vehicle 4WD,2991
2.2,Premium,Compact Cars,20011
2.8,Premium,Compact Cars,20012
3.2,Premium,Compact Cars,20030
4.2,Premium,Compact Cars,20050
5.0,Premium,Compact Cars,20060
6.0,Premium,Compact Cars,20070
3.0,Premium,Compact Cars,49061
2.0,Regular,Special Purpose Vehicle 4WD,49081
3.0,Premium,Compact Cars,49060
2.4,Premium,Compact Cars,19640
2.4,Regular,Compact Cars,19635
2.3,Regular,Compact Cars,4432
2.3,Regular,Compact Cars,4430
2.0,Regular,Special Purpose Vehicle 4WD,49080
2.3,Diesel,Special Purpose Vehicle 4WD,3630
6.5,Premium,Compact Cars,44001
1.9,Regular,Compact Cars,4403
1.9,Regular,Compact Cars,4401
1.9,Regular,Compact Cars,4400
1.9,Regular,Compact Cars,4402
2.2,Regular,Compact Cars,66030
2.8,Regular,Special Purpose Vehicle 4WD,3651
1.6,Regular,Compact Cars,57003
1.8,Regular,Compact Cars,57004
2.0,Regular,Compact Cars,59002
2.8,Regular,Special Purpose Vehicle 4WD,3650
2.8,Regular,Compact Cars,59005
2.8,Regular,Compact Cars,59003
4.0,Premium,Midsize Cars,12057
2.2,Regular,Midsize Cars,4407
3.1,Regular,Midsize Cars,4423
4.9,Regular,Special Purpose Vehicle 4WD,3712
3.8,Regular,Midsize Cars,4502
4.6,Premium,Midsize Cars,4100
3.4,Regular,Midsize Cars,4503
3.0,Premium,Midsize Cars,38034
2.9,Regular,Two Seaters,22010
2.6,Premium,Subcompact Cars,49060
4.9,Regular,Special Purpose Vehicle 4WD,3711
2.5,Regular,Midsize Cars,2430
3.0,Regular,Midsize Cars,3330
3.2,Premium,Midsize Cars,3321
4.9,Regular,Special Purpose Vehicle 4WD,3710
4.6,Regular,Midsize Cars,3380
2.0,Regular,Midsize Cars,26507
3.0,Regular,Midsize Cars,26508
2.0,Regular,Midsize Cars,26509
3.0,Regular,Midsize Cars,26510
5.0,Regular,Special Purpose Vehicle 4WD,3833
3.0,Premium,Midsize Cars,57008
4.0,Premium,Midsize Cars,57010
4.6,Premium,Midsize Cars,3390
2.0,Regular,Midsize Cars,56050
5.0,Regular,Special Purpose Vehicle 4WD,3830
2.5,Premium,Midsize Cars,56051
5.8,Regular,Special Purpose Vehicle 4WD,3930
6.8,Premium,Midsize Cars,44002
6.5,Premium,Midsize Cars,44001
2.3,Regular,Midsize Cars,47011
2.3,Regular,Midsize Cars,47010
2.5,Regular,Midsize Cars,47013
2.5,Regular,Midsize Cars,47012
2.2,Regular,Midsize Cars,57006
